Description,Word No.,Valence Mean,Valence SD,Arousal Mean,Arousal SD,Dominance Mean,Dominance SD,Word Frequency
grin,773,0.812417437,1.87,0.498269896,2.64,0.664884135,1.86,13
honest,210,0.852047556,1.43,0.506920415,1.92,0.707664884,2.13,47
gripe,774,0.249669749,1.56,0.451557093,2.19,0.427807487,1.79,.
honey,792,0.723910172,1.7,0.366782007,2.25,0.565062389,1.47,25
guillotine,196,0.162483487,2.11,0.721453287,2.54,0.422459893,2.63,.
honor,211,0.84676354,1.24,0.607266436,1.83,0.789661319,2.04,66
guilty,197,0.182298547,1.98,0.631487889,2.76,0.146167558,2.22,29
hooker,793,0.276089828,2.31,0.439446367,2.82,0.438502674,2.48,.
gun,593,0.29326288,2.48,0.801038062,1.84,0.22459893,2.72,118
hope,794,0.766182299,1.96,0.527681661,2.47,0.579322638,2.2,178
gymnast,515,0.673712021,1.79,0.455017301,2.2,0.541889483,1.79,1
hopeful,212,0.772787318,1.46,0.58650519,2.09,0.559714795,1.92,12
habit,775,0.377807133,1.77,0.269896194,2.11,0.361853832,1.79,23
horror,213,0.199471598,2.25,0.833910035,2.14,0.420677362,2.7,17
hairdryer,561,0.474240423,0.84,0.228373702,1.75,0.588235294,1.27,.
horse,214,0.612945839,1.55,0.259515571,2.17,0.427807487,1.6,117
hairpin,776,0.529722589,1.45,0.152249135,2.41,0.495543672,1.32,1
hospital,215,0.500660502,2.45,0.621107266,2.54,0.431372549,2.16,110
hamburger,777,0.663143989,1.5,0.373702422,2.14,0.543672014,1.21,6
hostage,216,0.125495376,1.8,0.756055363,2.63,0.099821747,2.32,2
hammer,198,0.479524439,1.16,0.378892734,2.02,0.442067736,1.88,9
hostile,217,0.195508587,1.5,0.700692042,2.28,0.459893048,2.58,19
hand,778,0.620871863,1.38,0.347750865,2.07,0.549019608,1.49,431
hotel,795,0.627476882,1.77,0.416955017,2.53,0.50802139,1.84,126
handicap,779,0.269484808,1.69,0.24567474,2.27,0.308377897,2.24,6
house,563,0.793923382,1.72,0.375432526,2.41,0.679144385,2.12,591
handsome,199,0.882430647,1.47,0.615916955,2.73,0.520499109,2.22,40
hug,218,0.891677675,1.55,0.512110727,2.76,0.62745098,2.41,3
haphazard,780,0.365918098,1.41,0.290657439,2.18,0.360071301,1.67,2
humane,796,0.745046235,1.7,0.365051903,1.91,0.6114082,1.91,5
happy,200,0.919418758,1.82,0.709342561,2.77,0.777183601,2.43,98
humble,219,0.608982827,1.42,0.233564014,2.33,0.443850267,2.25,18
hard,781,0.524438573,1.82,0.472318339,2.19,0.591800357,1.63,202
humiliate,797,0.130779392,1.34,0.648788927,2.42,0.058823529,1.94,.
hardship,782,0.158520476,1.61,0.410034602,2.55,0.347593583,2.4,9
humor,220,0.965653897,0.81,0.538062284,2.91,0.679144385,2.14,47
