Start Date,End Date,Trigger Words,Tweet Count,Tweet0,Tweet0 Timestamp,Tweet1,Tweet1 Timestamp,Tweet2,Tweet2 Timestamp,Tweet3,Tweet3 Timestamp,Tweet4,Tweet4 Timestamp,Tweet5,Tweet5 Timestamp,Tweet6,Tweet6 Timestamp,Tweet7,Tweet7 Timestamp,Tweet8,Tweet8 Timestamp,Tweet9,Tweet9 Timestamp,Tweet10,Tweet10 Timestamp,Tweet11,Tweet11 Timestamp,Tweet12,Tweet12 Timestamp,Tweet13,Tweet13 Timestamp,Tweet14,Tweet14 Timestamp,Tweet15,Tweet15 Timestamp,Tweet16,Tweet16 Timestamp,Tweet17,Tweet17 Timestamp,Tweet18,Tweet18 Timestamp
27/01/2019,03/02/2019,"['music', 'watch', 'fun']",3,"""Slow Cooker vs. Instant Pot! Thanks to @JohnLegere and @TMobile for having me for a special #SlowCookerSunday!! Watch it here https://t.co/9PZcUbfn9a #SuperBowl #PAMshuffle #IN!!!!""",2019-02-03 15:38:00,"""That was a blast!! Thanks for the fun. #PAMshuffle #SlowCookerSunday https://t.co/DzRA1tcaKX""",2019-02-01 20:53:00,""".@Danwhitemagic plays musical chairs with Jimmy and @theroots: https://t.co/Atz9UqiBmm https://t.co/75biicUTzz""",2019-02-01 05:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2019,11/02/2019,"['love', 'time', 'friend', 'watch', 'music', 'brother']",8,"""https://t.co/Ll6bksqcXc love this bad ass interview @StephenMerchant gave on @jimmyfallon last night! So surreal @FightingWMyFam""",2019-02-12 17:08:00,"""Tonight! Will Forte (@OrvilleIV), @GiGiHadid, @BlakeMycoskie and a musical performance by @gashi ft. @G_Eazy! Plus, Ew! with @PriyankaChopra! #FallonTonight""",2019-02-12 14:12:00,"""Tonight on the show: @AdamSandler is here, @StephenMerchant stops by, and music from @MetroBoomin ft. @1GunnaGunna! Plus, @BigBird joins and we’ll talk about the amazing work @sesameworkshop is doing! #FallonTonight""",2019-02-11 14:18:00,"""Beat Battle with @RebelWilson!! https://t.co/CWcZfKTLly Great show tonight! Watch on NBC now! #FallonTonight https://t.co/yVpq97yvMW""",2019-02-09 04:34:00,""".@RebelWilson is going head-to-head with @jimmyfallon in an intense game of Beat Battle! Watch now: https://t.co/uR2ced2EHm""",2019-02-09 00:39:00,"""Liam Hemsworth knows he's easily mistaken for his brothers https://t.co/DDxjQ58pY2 https://t.co/sDubddmr2n""",2019-02-07 05:45:00,"""Tonight on the show: @LiamHemsworth, Jessica Williams, @RobGronkowski and music from @ronniemilsap ft. @littlebigtown! #FallonTonight""",2019-02-06 13:57:00,"""It's Hashtags time! Tell us about a song lyric you or a friend misheard and tag it with #MisheardLyrics. Could be on the show!""",2019-02-05 15:03:00,,,,,,,,,,,,,,,,,,,,,,
12/02/2019,19/02/2019,"['love', 'time', 'music', 'watch', 'birthday', 'food']",6,"""Happy Birthday. https://t.co/NCGgA5FDM4""",2019-02-20 02:14:00,"""It’s Hashtags time - Tag a tweet with #ImproveAMovieWithOneWord and then add or replace one word to a movie title to make it funny or weird. Could be on the show!""",2019-02-19 19:18:00,"""Tonight: Jake Gyllenhaal is here, Jennifer Carpenter (@J2thecarpenter) stops by, and music from @WALKTHEMOONband #FallonTonight""",2019-02-19 15:26:00,"""We love you guys. Thank you for all that you do. https://t.co/FjqyccSvub""",2019-02-16 19:39:00,"""Food or Not Food with @KendallJenner https://t.co/WQie6Oslhy #FallonTonight""",2019-02-15 13:35:00,"""Watch @jimmyfallon nearly belly bump @priyankachopra through a wall during this HILARIOUS installment of ""Ew!"" https://t.co/JW8C8jPbIE""",2019-02-13 14:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/2019,27/02/2019,"['time', 'love', 'friend', 'watch', 'fun', 'music', 'honor']",11,"""Tonight: @jes_chastain, @pattonoswalt, @KatyTurNBC and music from @GaryClarkJr! #FallonTonight""",2019-02-28 02:34:00,"""It’s Hashtags time! Tell us a funny way to ruin a song with one word and tag it with #RuinASongWithOneWord. Could be on the show!""",2019-02-26 19:14:00,"""Tonight on the show: @tylerperry, @Sarah_Hyland, and music from @Weezer! #FallonTonight""",2019-02-26 17:12:00,"""Watch our 5th Anniversary Show tonight!! Tina Fey, Ben Stiller, Robert Irwin, Robert DeNiro and Florida Georgia Line! #FallonTonight #Fallon5 https://t.co/UqYVWGcKIn""",2019-02-26 03:19:00,"""At 10:35, right after 5 On Your Side at 10, it’s a special behind-the-scenes @FallonTonight in honor of the show’s fifth anniversary. @JimmyFallon’s guests: Tina Fey, Ben Stiller (@RedHourBen), @RobertIrwin, Robert De Niro and @FLAGALine!#FallonTonight #NoFlipping""",2019-02-26 02:32:00,"""This will be fun. Happy 5th Anniversary @jimmyfallon @FallonTonight and all my old friends!! https://t.co/JMYwWRA0Sq""",2019-02-26 00:22:00,"""I’ve always loved dominoes as a kid. Not so much the game but the knocking them down part of it. At max I probably had 30 dominoes. Here are thousands... Lily - you are brilliant. Thank you. (Give my best to your dad.) https://t.co/wR5ILhV4Sp""",2019-02-21 20:27:00,"""Congrats on the milestone, @JimmyFallon. 

Celebrate with @FallonTonight and watch their insane domino trick. → 
https://t.co/aIcEznFiSN https://t.co/R3aDLAzwdJ""",2019-02-21 18:12:00,"""That was so fun last night!! I wasn’t quite sure if it would happen during the taping or not. I’m so happy it did. Those are the moments you don’t forget. Thanks. https://t.co/M88S1RnhKz""",2019-02-21 15:30:00,"""Tonight on the show! @kenjeong is here, @KateUpton stops by, and talk and music from @AndersonPaak! #FallonTonight""",2019-02-21 14:04:00,"""I love you!! Thank you!! 20 million!!""",2019-02-20 23:17:00,,,,,,,,,,,,,,,,
28/02/2019,07/03/2019,"['love', 'time', 'watch', 'fun', 'good', 'brother', 'clock']",6,"""Love this guy. https://t.co/heBSRXkVLi""",2019-03-07 04:15:00,"""People seem to believe that I should have this wooden digital clock. Hmm.  The wood of yore mixed with the tech of the 80’s. That says something about me, huh. https://t.co/2xjbDocg6T""",2019-03-06 16:30:00,"""Twitter help. I want a clock for my end table. It doesn’t need to have an alarm - I just would like to know what time it is. And none of that glowing light things. My kids wake me up before I can see that magic happen. Small is fine. I have books next to it that I haven’t read.""",2019-03-06 15:55:00,"""It started out as kindof a joke. But it builds their confidence and they get hungry for more books!! Good for you for reading. The MAMA one has a few more words. 🙂 https://t.co/t6iQoXUY9P""",2019-03-05 12:10:00,"""Kudos To The Wardrobe Director! Watch @Weezer, @JimmyFallon and @TheRoots cover A-Ha's ""Take On Me"" using classroom instruments https://t.co/9OxguWTYLR""",2019-03-01 16:44:00,"""It was EPIC. I can’t even get into it. Ha! Miss ya brother. Come back and see us. So fun. https://t.co/z6ccGk2U0x""",2019-03-01 14:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2019,15/03/2019,"['music', 'fun', 'time', 'lie']",4,"""Doing something fun with @TMobile! Share a screenshot of your most awkward text exchanges like your travel or vacation fails, funny group chats, or awkward break-up texts and tag it with #MyAwkwardTexts! Could be featured!!""",2019-03-14 15:04:00,"""I try to get #AvengersEndgame spoilers out of @MarkRuffalo with a lie detector https://t.co/RPHW3VwMna #FallonTonight""",2019-03-14 13:25:00,"""Tonight!! Keira Knightley is here, Jon Glaser stops by, and music from @TheChainsmokers &amp; @5SOS! #FallonTonight""",2019-03-12 15:10:00,"""It’s Hashtags time! Share a funny or weird story about a time you had bad luck and tag it with #MyBadLuck. Could be on the show!""",2019-03-11 19:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2019,23/03/2019,"['love', 'time', 'music', 'birthday', 'lie', 'saint', 'mountain']",7,"""Box of Lies with @OfficialJLD! https://t.co/8EMB8aBQhP #FallonTonight""",2019-03-22 16:29:00,"""What a team you’ve got? Loved them. Crush it on Saturday. CRUSH!! https://t.co/YVBl8IBsqW""",2019-03-21 17:22:00,"""Saint Louis to the Sweet 16?
Oregon to the Elite 8?

@jimmyfallon's bracket is locked in! What do you think? #MarchMadness https://t.co/eV4Mkz26VW""",2019-03-20 18:30:00,"""Great performance last night from @findingfletcher. It was her TV debut AND her birthday! She crushed it!! 
https://t.co/TQ02Gs5K2B #FallonTonight""",2019-03-20 15:30:00,"""Our Toro Verde Adventure Park and its ""El Monstruo"" zipline is no joke. Adrenaline junkies, if you need tips on how to glide over our mountains, just ask @JimmyFallon– he's a zipline pro. Right, Jimmy? 😂  #DiscoverPuertoRico https://t.co/aTGRHdN3Qt""",2019-03-19 19:21:00,"""It’s Hashtags time! Tag a tweet with #SpringBreakHaiku and then write a funny or weird haiku poem about spring break. Could be on the show!""",2019-03-19 14:19:00,"""Great show tonight: @JordanPeele, Malcolm @Gladwell, @MarlonDuToit, and music from @sharonvanetten! Plus, highlights from the first-ever Tonight Show @NCAA Mascot 3-Point &amp; Slam Dunk Contests! #MarchMadness #FallonTonight""",2019-03-18 23:08:00,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2019,31/03/2019,['love'],1,"""Shelley Lazar was like no other. Really gonna miss her. She followed me to every cool show. Inside joke. Legend. Love. Oh my gosh love.""",2019-04-01 02:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2019,08/04/2019,"['love', 'time', 'fun', 'music', 'watch', 'good', 'honor', 'birthday', 'champion', 'present', 'bless']",10,"""#IfIHadTheThrone I’d make it so instead of “Bless you” after someone sneezes, everybody has to say “Allergy Season is Coming.” #gameofthrones""",2019-04-09 15:27:00,"""It’s Hashtags time! Tag a tweet with #IfIHadTheThrone and then tell us a funny or weird thing you'd do if you were in charge. Could be on the show! #gameofthrones""",2019-04-09 15:26:00,"""Tonight on the show: @RealHughJackman, @ChrissyMetz, and Augusta National Women's Amateur Champion @JenniferKupcho and Runner-Up @MariaFassi0! Plus, music from @juiceworlddd! #FallonTonight""",2019-04-08 13:47:00,"""Haaaa. I love Steve Winwood too! https://t.co/t9j32yxA3b""",2019-04-06 16:28:00,"""Tiny hands, back again! Honored to present the @Variety Power of Women Award to honoree @GiGiHadid today! #PowerOfWomen #NYC https://t.co/IxxstS37Xn""",2019-04-05 20:08:00,"""Watch @thegreatkhalid perform ""Talk"" from his new album #FreeSpirit https://t.co/FrWiVSk5q6 https://t.co/TAn8x5xuSx""",2019-04-05 13:10:00,"""Fun show tonight: Kit Harington, Elle Fanning &amp; music from @thegreatkhalid! #tbt #FallonTonight https://t.co/Ueg3UvvFwo""",2019-04-04 22:48:00,"""I was scared for a sec. I’ll be watching them this Sunday. https://t.co/sHyHDG7o4q""",2019-04-04 11:26:00,"""Happy Birthday, Alec! https://t.co/0zYaAEiAvb""",2019-04-03 22:47:00,"""Ran into the Italian version of me - @alecattelan, and we had a good chat. Funny guy. #EPCC April 11! @SkyUno https://t.co/YDiioCMxmD""",2019-04-03 03:21:00,,,,,,,,,,,,,,,,,,
09/04/2019,16/04/2019,"['time', 'watch', 'fun', 'love', 'friend', 'music', 'good', 'honor']",8,"""It’s Hashtags time - Tag a tweet with #ConcertFail and then tell us a funny or weird story from a concert or music festival. Could be on the show!""",2019-04-16 15:53:00,"""Thank you for a fun show last night, @Cher! https://t.co/GVPwSfGXQu #FallonTonight""",2019-04-16 15:27:00,"""@Nidhinaagar @nytimes Yeah. Not just for me but all the shows. These are all good jokes. I like that they do a best of late night.""",2019-04-16 13:10:00,"""Can’t stop eating and loving this MASTERS!!! #TheMasters #TacoTuesdaySunday https://t.co/Nhy9MCfnbq""",2019-04-14 17:20:00,"""I met a new friend. https://t.co/oo0NbK9Jto""",2019-04-12 19:06:00,"""Tonight on the show: #EmmaStone, @PollanFamily and @RealMikeFox! Plus, music from @TankandDaBangas! #FallonTonight #TBT https://t.co/8zH3A2Hv4r""",2019-04-11 19:23:00,"""Today.. we honor #Gary! Happy #NationalPetDay to my dog, Gary, and to all of the pets out there that bring you love and happiness!! https://t.co/Yk7Ipm8Ku4""",2019-04-11 18:29:00,""".@FallonTonight x @GameOfThrones 
Watch the full video:
https://t.co/abOc37nwVr""",2019-04-10 19:27:00,,,,,,,,,,,,,,,,,,,,,,
