Start Date,End Date,Trigger Words,Tweet Count,Tweet0,Tweet0 Timestamp,Tweet1,Tweet1 Timestamp,Tweet2,Tweet2 Timestamp,Tweet3,Tweet3 Timestamp,Tweet4,Tweet4 Timestamp,Tweet5,Tweet5 Timestamp,Tweet6,Tweet6 Timestamp,Tweet7,Tweet7 Timestamp,Tweet8,Tweet8 Timestamp,Tweet9,Tweet9 Timestamp
05/02/2019,12/02/2019,"['progress', 'love', 'leader', 'friend', 'time', 'champion', 'art', 'good', 'vision', 'letter']",9,"""Even if your primary concern is the welfare of your fellow citizens, these investments are overwhelmingly smart things to do. Progress benefits everyone. Here’s how: https://t.co/b6S5lpyUVr https://t.co/SSFC0i6Em2""",2019-02-13 15:03:00,"""At a time when bad news seems to dominate the headlines every day, I want to keep reminding people that life is getting better for millions in the world’s poorest countries, thanks in part to smart investments in health.""",2019-02-13 15:03:00,"""You probably won’t be too surprised to learn that I love a good cheeseburger. But you may be surprised by some of the things you read in our annual letter: https://t.co/ylXwYeSCxd https://t.co/0zb5M2ZG0Y""",2019-02-13 04:16:00,"""In our 2019 Annual Letter, we wrote about the things that have surprised us over the years. Some worry us. Others inspire us. All of them are moving us to action. https://t.co/GwFW6sNgVL""",2019-02-12 12:56:00,""".@PMEthiopia Abiy Ahmed is a champion for diversity and gender equality. I enjoyed talking with him while in Addis Ababa. https://t.co/cX1pypY4cB""",2019-02-11 12:43:00,"""Under @PaulKagame, Rwanda has become a leader in promoting health across the continent. We had a great conversation about the importance of continued health investment. https://t.co/FT9se17gpj""",2019-02-11 04:36:00,"""This is an interesting take from @RahmEmanuel about challenging your assumptions of what makes a good school. https://t.co/2dUtj99PCS""",2019-02-09 22:18:00,"""In 2009, my friend @NandanNilekani was tapped by the government of India to turn its vision for a digital ID system into a reality. A decade later, nearly all of India’s 1.3 billion residents are enrolled in this impressive program: https://t.co/2YUxCRwXPE https://t.co/QisjcAtjvL""",2019-02-08 19:51:00,"""I enjoyed serving as @TIME first-ever guest editor last year, and I was excited when I heard that @ava would be taking the helm this year. Congrats, Ava, on a great issue highlighting the power of “art and optimism.” https://t.co/5EtZmcOUor""",2019-02-07 15:27:00,,
13/02/2019,20/02/2019,"['save', 'teacher']",2,"""Toilets of the future will save millions of lives. https://t.co/VlpC7LvOIR https://t.co/1rEi9oC6B9""",2019-02-21 15:00:00,"""If you believe every student should have a chance to learn how to code, nominate your favorite teacher for a @codeorg scholarship: https://t.co/f9KB0qj1te https://t.co/jXvvHtL8Mf""",2019-02-18 16:01:00,,,,,,,,,,,,,,,,
21/02/2019,28/02/2019,"['save', 'art', 'music']",3,"""Everything I’ve learned about Leonardo da Vinci leads me to believe he was one of the most innovative thinkers ever. Here’s what he’s taught me about art, optimism, and innovation. https://t.co/9SHBSxmEBz""",2019-02-28 19:57:00,"""Who has the best musical taste in our family? Hint: It’s not me… https://t.co/gMoHIPFv3v""",2019-02-22 23:07:00,"""Since 2002, the @GlobalFund and its partners have saved 27 million lives. This shows what’s possible when we act on the idea that all of us have a stake in the health and well-being of the poorest: https://t.co/sUZP0EA2pb https://t.co/9Sg0tKGmqE""",2019-02-21 21:13:00,,,,,,,,,,,,,,
01/03/2019,08/03/2019,"['progress', 'time', 'love', 'thought', 'swamp']",4,"""Melinda’s work on behalf of women and girls inspires me every day. I love this video she made for #IWD2019 https://t.co/1CeWYGPTAv""",2019-03-08 15:36:00,"""Tomorrow is #IWD2019 — a day when we celebrate the progress made by and for women. To celebrate, @melindagates is sharing a chapter from her new book, “The Moment of Lift,” about the lessons she’s learned from women around the world. https://t.co/im5O3CRRaQ""",2019-03-07 19:06:00,"""I had a great time chatting with a fellow tech enthusiast, @MKBHD. We talked about electric cars, AI, and how tech can give back. https://t.co/0e8BoDXjn3""",2019-03-04 17:45:00,"""I was excited when I thought @MarkRober brought me a hamburger. Turns out it was a bottle of swamp water… https://t.co/nwiluClsWt""",2019-03-02 16:03:00,,,,,,,,,,,,
09/03/2019,16/03/2019,"['fight', 'time', 'save', 'progress', 'good', 'leader', 'teacher', 'doctor']",5,"""Diversity is good for innovation. This is a great conversation between @robotsmarts and @timnitGebru on the importance of representation and female leadership in tech. https://t.co/21uMzF5Ofk""",2019-03-16 15:11:00,"""If you want to discover what makes a school great, there’s no substitute for spending time in the classroom. I learned a lot from the students and teachers at this Chicago school: https://t.co/hN6zJEnjQW https://t.co/pL5cHJCejq""",2019-03-15 12:00:00,"""Medical advances should be available to everyone who needs them. That’s why I’m excited about an inexpensive blood test that could help doctors predict if a baby will be born prematurely. This information would undoubtedly save lives. https://t.co/GsCYZU7gqs""",2019-03-14 14:00:00,"""It’s great to see leaders in Washington talking about accelerating energy innovation to fight climate change. This op-ed from @lisamurkowski and @Sen_JoeManchin is worth reading. https://t.co/Z45BIXBLVq""",2019-03-13 18:50:00,"""Behind every progress report is a student story. As Yusef — a senior at North-Grand High School in Chicago — told me, he is “seeing himself clearly” in ways he couldn’t before thanks to better data about his progress: https://t.co/zlGlEZPZPE https://t.co/yeKQdwXL9T""",2019-03-10 17:28:00,,,,,,,,,,
17/03/2019,01/04/2019,"['fight', 'leader', 'thrill', 'farm', 'kind']",5,"""This surprised me: there’s more carbon in soil than in the atmosphere and all plant life combined. Here’s what that means for how we fight climate change: https://t.co/i1vPN7G3Sn https://t.co/iDv16zaMh1""",2019-03-31 17:57:00,"""Pivot Bio has developed an alternative to synthetic fertilizer that could help transform farming and reduce greenhouse gas emissions: https://t.co/3keIlFe2MR https://t.co/iAdaBmKFVI""",2019-03-29 13:49:00,"""I’m thrilled that senators from both sides of the aisle have come together to support advanced nuclear. This is exactly the kind of leadership our country needs to both solve the climate challenge and reassert our leadership in this important industry.""",2019-03-28 20:28:00,"""Yesterday, a bipartisan group of leaders in the U.S. Senate introduced the Nuclear Energy Leadership Act, which establishes an ambitious plan to accelerate the development of advanced nuclear reactor technologies. I can’t overstate how important this is. https://t.co/tRovGTm2sg""",2019-03-28 20:28:00,"""Most discussions about fighting climate change focus on electricity and the need for renewable energy. De-carbonizing the way we generate electricity would be a huge step, but it won’t be enough to avoid the worst effects of climate change. https://t.co/C4oCIz6iXg""",2019-03-26 18:22:00,,,,,,,,,,
02/04/2019,09/04/2019,"['fight', 'love', 'friend', 'mother', 'delight', 'father', 'honest', 'fun']",6,"""I’ve learned so much from Melinda over the years and I’m delighted she is now sharing her insights with the rest of the world: https://t.co/FPw5nIAoGm https://t.co/l1vrbbw5qD""",2019-04-10 12:04:00,"""It also includes insights about our marriage, the path we took to become equals in our work, and how she has helped me grow as a father and husband.""",2019-04-09 17:15:00,"""“The Moment of Lift” is a wise, honest, and beautifully written book about how empowering women lifts up everyone.""",2019-04-09 17:15:00,""".@melindagates is the most important person in my life: an amazing partner, wife, mother, and friend (and now accomplished author!). Her new book is a terrific read that will leave you feeling enlightened and inspired: https://t.co/iCWebQwSH1 https://t.co/CdBwQQb0QA""",2019-04-09 17:15:00,"""When Paul and I founded @Microsoft together, we were confident that computers would change the world. But we never could have imagined how much fun we would have along the way. https://t.co/YZ3l4z94ao""",2019-04-04 21:27:00,"""Reducing greenhouse gas emissions from buildings is one of the five biggest challenges in the fight against climate change. I love that architects are looking to nature to find solutions. https://t.co/VXVuuCtOVY""",2019-04-04 15:01:00,,,,,,,,
10/04/2019,17/04/2019,"['fight', 'progress', 'malaria', 'love', 'save', 'watch', 'proud', 'honor', 'hate', 'kick', 'star', 'mosquito']",8,"""Here’s one reason why I really, really hate mosquitoes: https://t.co/DDG0kG692T #MosquitoWeek https://t.co/7qTfCLDKmu""",2019-04-18 14:17:00,"""Precision maps are bringing us closer to the day when malaria is gone forever. https://t.co/mxqN60hOJN""",2019-04-17 13:53:00,"""Why I would rather encounter a shark in the wild than a mosquito: https://t.co/6CrnkJ6f31 #MosquitoWeek https://t.co/uB5YFPLgzO""",2019-04-16 16:57:00,"""I’m proud that @Microsoft is one of the many companies taking action to fight climate change and excited about its leadership in using AI to accelerate progress on these challenges. https://t.co/psSwcQms3M""",2019-04-16 14:18:00,"""To kick off #MosquitoWeek, I wrote about the world’s deadliest shapeshifter (and what scientists are learning about how to beat it). https://t.co/EOR9vx1M20""",2019-04-15 17:18:00,"""As a teenager, I remember watching an episode of the original Star Trek where the bad guy is a shapeshifter who turns himself into a second Captain Kirk.""",2019-04-15 17:18:00,"""When I was younger, I loved science fiction. The author I read the most was Robert Heinlein (“The Moon Is a Harsh Mistress” was a favorite).""",2019-04-15 17:18:00,"""Melinda and I were honored to join President Bush and Laura Bush @TheBushCenter. Their leadership of programs like @PEPFAR has helped save millions of lives around the world. https://t.co/hgenuuOk5j""",2019-04-12 22:13:00,,,,
18/04/2019,25/04/2019,"['save', 'fight', 'child', 'progress', 'watch', 'fun', 'fear', 'kind', 'death', 'malaria', 'mosquito']",10,"""One of my favorite authors, @sapinker, co-wrote a piece about why nuclear power is so important in fighting climate change. It’s worth reading. https://t.co/bDkDgF8sEQ""",2019-04-26 13:48:00,"""Deaths from malaria have dropped 42% since 2000. I’m as optimistic as ever that we can get to zero deaths in our generation: https://t.co/7PGDJv9PWG #WorldMalariaDay https://t.co/nWLLtMXz1B""",2019-04-25 13:52:00,"""Stories like this one from Kenya remind me of why Melinda and I started our foundation. I'm optimistic we will continue to make progress towards the day that no child dies from a preventable disease. #VaccinesWork https://t.co/srfCk36l83""",2019-04-24 11:54:00,"""Melinda’s new book, The #MomentofLift, is out today: https://t.co/sC4eE1Jy8N.

She combines her mastery of data with her ability to tell powerful stories. It was a lot of fun watching her write it, and I’m excited for all of you to read it. https://t.co/Mc76kYsWIJ""",2019-04-23 14:04:00,"""On #EarthDay, I’m inspired by the inventors who are tackling climate change and all the people who are supporting their work. I can’t wait to share their progress with you throughout the year. https://t.co/bZMYnhmZjY""",2019-04-22 14:25:00,"""Gene drive is a technique where you give a few mosquitoes an edited gene and it drives itself into all their offspring. It could one day help us defeat diseases like malaria: https://t.co/8rlIYXbWSN https://t.co/l1I0zhg0g3""",2019-04-20 15:40:00,"""Less than a century ago, families everywhere lived in fear of a mosquito bite. Now 75% of all malaria cases occur in just 15 countries. The partners fighting this disease won’t rest until we’ve reached every case of malaria, while saving as many lives as possible along the way. https://t.co/WDTG7lKiDg""",2019-04-19 21:00:00,"""3: Which of the following factors affect the spread of malaria? The answer is in my latest blog post: https://t.co/Vv1rQ79zSJ""",2019-04-19 14:22:00,"""2: What kind of pathogen causes malaria? Find the answer here: https://t.co/tUPDUDpfK7""",2019-04-19 14:22:00,"""Biology pop quiz! Test your knowledge about the world’s deadliest animal: the mosquito.

1: Of the 3,000 species of mosquitoes, how many are responsible for most cases of malaria? Read my post to find the answer: https://t.co/ICUKMpu3EO""",2019-04-19 14:22:00
26/04/2019,03/05/2019,"['progress', 'fight', 'watch', 'leader', 'thrill', 'dirt']",5,"""What does a “dirt detective” do for a living? I’m eager to watch this talk from soil scientist Asmeret Asefaw Berhe about how we can use soil to fight climate change. @TEDTalks https://t.co/X6EKzhlKfU""",2019-05-03 13:50:00,"""A few months ago, Fred contributed a piece to my blog which outlined why educating the next generation of African leaders will be so important. https://t.co/wCLJIENm6g""",2019-05-02 21:58:00,""".@FredSwaniker has an ambitious plan to unlock the talents of young Africans. I was thrilled to see him featured in the latest issue of #TIME100. https://t.co/9PParcGi6q""",2019-05-02 21:58:00,"""It’s hard for me to overstate how brave people who fight outbreaks are. They face a near-impossible task with grace under pressure: https://t.co/dZi32udwDm https://t.co/rYFftiE7Wu""",2019-05-02 15:47:00,"""The world’s historic progress to #endpolio would not be possible without the strong commitment of partners like @MohamedBinZayed and the UAE: https://t.co/MedY3Ta6vx https://t.co/FgCCRjTzG9""",2019-05-01 16:30:00,,,,,,,,,,
