Start Date,End Date,Trigger Words,Tweet Count,Tweet0,Tweet0 Timestamp,Tweet1,Tweet1 Timestamp,Tweet2,Tweet2 Timestamp,Tweet3,Tweet3 Timestamp,Tweet4,Tweet4 Timestamp,Tweet5,Tweet5 Timestamp,Tweet6,Tweet6 Timestamp,Tweet7,Tweet7 Timestamp,Tweet8,Tweet8 Timestamp,Tweet9,Tweet9 Timestamp,Tweet10,Tweet10 Timestamp
12/02/2019,19/02/2019,"['watch', 'love', 'art']",1,"""They’ve all used their lives &amp; art to propel conversation and culture forward. @BetoORourke @MichaelB4Jordan #BradleyCooper @MelindaGates @Lisa_M_Borders. I loved talking with them - The energy was powerful &amp; positive! Watch a very special hour. #SuperSoulConversations Tom 8p|7c https://t.co/oRnJEKAQ0R""",2019-02-15 17:38:00,,,,,,,,,,,,,,,,,,,,
20/02/2019,27/02/2019,"['watch', 'time', 'good', 'god']",1,"""In tears watching @ReginaKing. Such an authentic acceptance. Bravo to you! and Amen, God IS good all the time! #Oscars""",2019-02-25 01:16:00,,,,,,,,,,,,,,,,,,,,
28/02/2019,15/03/2019,['honor'],1,""". @aliciakeys has navigated the spotlight and pressures of fame while retaining a humble and beautiful spirit. I am honored she chose to share her personal story #MoreMyself through my imprint. You can read it on 11/5 and it's available for pre-order now. https://t.co/4rGNnKL8Vx https://t.co/dhVE4USAeg""",2019-03-13 17:15:00,,,,,,,,,,,,,,,,,,,,
16/03/2019,31/03/2019,"['hope', 'friend', 'god', 'fall']",4,"""Hey @RitaWilson I just listened to
your new single https://t.co/yPSXzF4L2I. Had me😢, it’s so beautiful. You have a new album and a new ⭐️ on the Hollywood Walk of Fame the same day?! God’s smiling at you. Brava! Brava! my friend. Enjoy every minute tomorrow!""",2019-03-28 23:21:00,"""Hope you enjoy my new book.
Great for graduates🎓trying to figure out what’s next.. or anyone who’s questioning or needs reassurance on the Path you’re on now. Order here: https://t.co/nTsc10mPZH #ThePathMadeClear https://t.co/h8CgphB7WR""",2019-03-26 21:25:00,"""There’s never been a moment quite like this one. We have this unique opportunity to rise to our best selves in how we use our technology. Apple TV+ launches this fall. See you there. https://t.co/SQ8x9rOqsX""",2019-03-26 02:00:00,"""I’m partnering with @tim_cook and @Apple to leave this world a little bit smarter, kinder, and better than we found it. Apple TV Plus launches this Fall. #AppleEvent https://t.co/14fkoi1sU7""",2019-03-25 22:43:00,,,,,,,,,,,,,,
01/04/2019,16/04/2019,"['watch', 'time', 'hope', 'proud', 'delight']",4,"""So Proud of you @GayleKing! And you @ava for capturing the spirit of her in your words. #Time100 https://t.co/L9rAY9wTVW""",2019-04-17 12:55:00,"""My first time doing @thedailyshow and I walked into this surprise from @trevornoah! Tune in tonight at 11 PM. https://t.co/Ve5NoPXeqR""",2019-04-11 00:25:00,"""Delighted to be partnering with Prince Harry. Hope we shed a lot of Light. And change some lives! https://t.co/tKGMhIlJpL""",2019-04-10 20:40:00,"""Sitting by my tv waiting to watch this tonight. So important to understand our history. Thanks @HenryLouisGates for always reminding us. #knowyourhistory https://t.co/bkToInhX6F""",2019-04-09 23:53:00,,,,,,,,,,,,,,
17/04/2019,10/05/2019,"['hope', 'good', 'time']",1,"""O, Canada! I’m so excited to be coming back on tour for The Path Made Clear. I had such a good time last time I was there but it was so cold I couldn’t actually experience Canada…so I’ll be back in June. I hope to see you there! https://t.co/OlTn1jBbDM""",2019-05-03 19:57:00,,,,,,,,,,,,,,,,,,,,
11/05/2019,18/05/2019,"['love', 'time', 'good', 'friend']",2,"""I loved hearing @nytdavidbrooks’ aha moment: Do you have weekday friends or weekend friends? SuperSoulers, you’re not going to want to miss my conversation with the best-selling author—tomorrow at 11am on @SuperSoulSunday. https://t.co/MWZVpK9eaw""",2019-05-18 17:49:00,"""Congratulations to the cast of @TootsieMusical , @ssandersprods I was  LOL most of the night. 😂😂Still humming the show tunes. Such good writing and timing! Bravo on your 11 Tony nominations. I now see why👏🏽👏🏽👏🏽  @bruglikas thanks for photo https://t.co/aMD7xd6ig5""",2019-05-15 03:57:00,,,,,,,,,,,,,,,,,,
19/05/2019,03/06/2019,"['watch', 'hope', 'proud', 'love', 'friend', 'delight', 'father', 'crime', 'cheer']",6,"""What about this scene? @NiecyNash you killed it with @msisisking. If you haven’t seen #WhenTheySeeUs yet, pls do. &amp; for everyone who says it’s “hard to watch,” think about the people who still find it “hard to live.” All those families impacted! So proud of my sister friend @ava! https://t.co/BMpRHoy1Ri""",2019-06-03 19:29:00,"""SuperSoulers, I spoke with one of the most influential speakers in the world. We’re back with another NEW episode with Theologian and Author Father Richard Rohr talking about the Universal Christ – tomorrow at 11a. https://t.co/RXBoyHhhbC""",2019-06-01 22:24:00,"""The @IyanlaVanzant you know and love is BACK tomorrow night 😅👀 https://t.co/lGu1uDO5Ud""",2019-05-31 21:25:00,"""Last week I went to the premiere of #WhenTheySeeUs, and let me tell you...@ava’s done it again. The compelling story of five Black and Latino teenagers wrongly convicted of a crime they did not commit is a story that must be seen. Hope you stream it today on @netflix. https://t.co/QwF10xT9N4""",2019-05-31 15:17:00,"""I remember when John Chester was doing heartwarming short films for @SuperSoulSunday about Emma the 🐷. Now he’s made a an entire delightful movie. In theaters this weekend. #BiggestLittleFarm https://t.co/hbLN72zn9v""",2019-05-31 03:47:00,"""Loved this moment so much👏🏾👏🏾😭😭! Stood up and cheered in my living room. #KodiLee #AmericasGotTalent https://t.co/oRRAbH3mO0""",2019-05-29 02:38:00,,,,,,,,,,
04/06/2019,11/06/2019,"['time', 'good', 'watch', 'kick', 'fun']",3,"""For everyone who feels @WhenTheySeeUs is hard to watch. Hear this! My interview with the real-life men airs this Wednesday 6/12 at 10p on @OWNTV and @netflix. #WhenTheySeeUs https://t.co/5adqFL9Bw8""",2019-06-10 23:31:00,"""No matter where you are on your wellness journey, kicking off your day with one healthy habit can go a long way. If you need inspiration, join our sunrise party going on right NOW on @ww_us’ FB. All proceeds from the party go to WW Good #GlobalWellnessDay #OWandWW https://t.co/AlOCnr6XXS""",2019-06-08 13:41:00,"""I was in LOL mode many times watching ⁦@LateNightMovie⁩. ⁦@mindykaling⁩ I remember you writing while we were shooting Wrinkle. Beautiful job, Sis👏🏽👏🏽.  Emma is on point perfection. So fun and entertaining . Bravo. Bravo!! https://t.co/cNfbqemGYm""",2019-06-07 16:56:00,,,,,,,,,,,,,,,,
12/06/2019,19/06/2019,"['good', 'watch', 'kick', 'thought', 'trust', 'betray', 'freedom', 'tree', 'save']",10,"""Thank y’all for watching and trending with us. Congratulations @willpowerpacker, Cast   and every crew member!👏🏽👏🏽 👏🏽#Ambitions""",2019-06-19 03:03:00,"""@DrLecia1 Exactly what I thought when @willpowerpacker showed me the first cut. Was hard to keep track of all the body parts!#Ambitions""",2019-06-19 03:01:00,"""@Just1cherries Could tou ever trust again , someone who did that? Power to precious for him to let it go tho.#Ambitions""",2019-06-19 02:59:00,"""@RichOnOWN Good for u Rich! #AMBITIONS""",2019-06-19 02:29:00,"""Watching from O Canada! https://t.co/TSaB4F54Vy""",2019-06-19 02:10:00,"""Dr. Edith Eger is 91 &amp; still kicking 💃🏾 I recommend her book “The Choice: Embrace The Possible” to every human. It’s about surviving the Holocaust &amp; how YOU can release yourself from the trauma of whatever is going on in your life. Our @SuperSoulSunday airs tomorrow at 11a. https://t.co/sk3JOIYVMR""",2019-06-15 21:08:00,"""@flawlessmi Isn’t family betrayal the worst and the deepest cut #QueenSugar""",2019-06-13 01:52:00,"""@QueenSugarOWN Knew it was coming , teared up anyway. @kofi  What freedom feels like! #QueenSugar""",2019-06-13 01:13:00,"""Nothing makes me happier than a stack of these , a blanket under a shady tree. Bring it on! #SummerReading https://t.co/vSprvVNMLU""",2019-06-12 23:48:00,"""@SamEastOnAir @oprahmagazine @ariannagdavis Hey Sam! Come see me in Montreal. I’ll save a seat for you 🇨🇦""",2019-06-12 21:19:00,,
