Start Date,End Date,Trigger Words,Tweet Count,Tweet0,Tweet0 Timestamp,Tweet1,Tweet1 Timestamp,Tweet2,Tweet2 Timestamp,Tweet3,Tweet3 Timestamp,Tweet4,Tweet4 Timestamp,Tweet5,Tweet5 Timestamp,Tweet6,Tweet6 Timestamp,Tweet7,Tweet7 Timestamp,Tweet8,Tweet8 Timestamp,Tweet9,Tweet9 Timestamp,Tweet10,Tweet10 Timestamp,Tweet11,Tweet11 Timestamp,Tweet12,Tweet12 Timestamp,Tweet13,Tweet13 Timestamp,Tweet14,Tweet14 Timestamp,Tweet15,Tweet15 Timestamp,Tweet16,Tweet16 Timestamp,Tweet17,Tweet17 Timestamp,Tweet18,Tweet18 Timestamp,Tweet19,Tweet19 Timestamp,Tweet20,Tweet20 Timestamp,Tweet21,Tweet21 Timestamp,Tweet22,Tweet22 Timestamp,Tweet23,Tweet23 Timestamp
31/03/2019,07/04/2019,"['birthday', 'mother', 'love', 'comfort', 'god']",2,"""Happy Birthday to my sweet beautiful mother. Thanks for teaching me that strength, love, forgiveness, sacrifice, hard work &amp; helping others in any way you can is what true beauty looks like. Love you &amp; appreciate you! Thank You God for choosing this wonderful being to be my mom! https://t.co/IFeNFfTLi7""",2019-04-05 16:20:00,"""This doesn’t make any sense! My spirit is shaken by this! Dear God may His spirit Rest In Peace and May You grant divine comfort to all his loved ones! 💔🙏🏿
I’m so sorry this happened to you @nipseyhussle https://t.co/rKZ2agxm2a""",2019-04-01 00:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2019,15/04/2019,['hit'],1,"""the May cover of @harpersbazaarus hits newsstands on April 23rd !! 🥰 check out more at https://t.co/1cl0I5EMy8 now. thank you Glenda Bailey 

📸: Dennis Leupold 
Fashion Editor: Miguel Alberto Enamorado
Makeup: Isamaya Ffrench 
Hair: @yusefhairnyc https://t.co/MqZAXvP9yC""",2019-04-16 16:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2019,23/04/2019,"['love', 'proud', 'hit', 'present', 'art', 'trust', 'watch']",3,"""#GuavaIsland @PrimeVideo hit the link https://t.co/7NLu4Zml0l https://t.co/M4JNN1IkaW""",2019-04-18 00:17:00,"""Thank you for trusting me with this role! It was the greatest experience being in Cuba, phones off, present with life and art! It was humbling! 
I loved watching every second of it! 
Go to @PrimeVideo to watch if you haven’t already! https://t.co/JYEUb13EdO""",2019-04-17 23:12:00,"""wow! the response to #GuavaIsland has been quite overwhelming. So happy you guys felt the beauty in this film! @donaldglover you are a true gem to the culture. I’m so proud of you and the work you put into making this film. I felt how close this was to you and your entire team! https://t.co/7hVx57PPJe""",2019-04-17 23:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/04/2019,01/05/2019,['love'],1,"""This month marks the one year anniversary of @savagexfenty !! 🥳
Thank you to everyone who has supported and embraced our brand and our message! To all my savages, I love you and I love the movement we have made together! So much more to come! https://t.co/uLGVunnUlm""",2019-05-01 20:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/05/2019,09/05/2019,['love'],1,""".@fentybeauty is officially taking over the UK! I’m here to announce our brand new partnership with @BootsUK !! Look out for us at locations from MAY 10th !! I’m so excited, I love Boots and I love my UK fans!!! Get ready for #FENTYBEAUTYxBOOTS !! 🇬🇧🇬🇧🇬🇧 https://t.co/1ojLL98fzb""",2019-05-03 12:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/05/2019,17/05/2019,"['love', 'god', 'respect', 'lost', 'idiot', 'treat', 'mother']",3,"""take a look. these are the idiots making decisions for WOMEN in America. 
Governor Kay Ivey...SHAME ON YOU!!!! https://t.co/WuAjSVv6TH""",2019-05-16 15:12:00,"""You deserve to be treated with the highest level of respect today and every day for your selfless thankless role in our lives. Here’s to the women who raise us, teach us, feed us, nurture us, mold us, discipline us, and love us unconditionally! 
Love you MOM and THANK YOU!!""",2019-05-12 18:14:00,"""who says women should be put on a pedestal? well...GOD! HAPPY MOTHERS DAY to all the mothers, mothers to be, mother figures, and to those who lost their beautiful moms in the flesh. https://t.co/uTsPLhD9ub""",2019-05-12 18:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/05/2019,10/06/2019,"['love', 'birthday']",1,"""my baby Majesty is a big girl today! 🖐🏿 years old! HAPPY 5th BIRTHDAY to my real life princess, Her #Majesty .
Aunty loves everything about you. My lil oxtail! https://t.co/TqxNJ1zxWg""",2019-06-08 17:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/06/2019,26/06/2019,['star'],1,"""not funny @sethmeyers 🙈
make sure you do not miss this episode TONIGHT starring 2 complete disasters....on @latenightseth 12:35/11:35c https://t.co/S655hezW3E""",2019-06-20 23:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/06/2019,04/07/2019,['fight'],1,"""Military rulers need to be held accountable. Praying for no more killings or abuse today.

Fight for human rights in #Africa and stand with protesters in #Sudan. 
#BlueforSudan #IAmSudaneseRevolution #Watch_Sudan_on_June30th 💙🇸🇩💙🇸🇩💙
🙏🏿💪🏿🙏🏿💪🏿🙏🏿 https://t.co/L6VM5AZfne""",2019-06-30 16:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/07/2019,12/07/2019,['love'],1,"""#HarpersBazaarChina  
shot by the lovely @Chenmaner https://t.co/l9HtpW0woC""",2019-07-09 17:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
